order_id,seller_id,order_date,total_amount
Or1997,S579,2020-09-03,375.64
Or1998,S66,2022-02-16,290.02
Or1999,S481,2022-11-08,322.69
Or2000,S202,2022-12-29,319.71
Or2001,S974,2022-09-07,225.12
Or2002,S888,2020-10-31,271.75
Or2003,S716,2022-12-20,308.76
Or2004,S624,2020-10-29,95.0
Or2005,S917,2020-08-22,330.08
Or2006,S395,2023-10-04,192.71
Or2007,S183,2024-01-04,437.93
Or2008,S20,2022-08-02,100.84
Or2009,S537,2024-03-14,418.06
Or2010,S706,2022-07-15,196.97
Or2011,S724,2024-01-23,61.37
Or2012,S653,2021-01-13,271.17
Or2013,S725,2025-01-01,282.68
Or2014,S357,2022-03-03,134.28
Or2015,S994,2020-10-02,133.72
Or2016,S511,2024-09-23,358.01
Or2017,S298,2024-11-17,466.73
Or2018,S529,2024-03-06,371.11
Or2019,S726,2021-01-09,413.97
Or2020,S605,2024-02-24,118.21
Or2021,S905,2023-03-28,125.83
Or2022,S955,2024-11-28,477.91
Or2023,S221,2023-01-04,132.02
Or2024,S400,2020-08-28,79.05
Or2025,S275,2020-11-12,244.96
Or2026,S660,2025-02-01,426.54
Or2027,S750,2022-03-16,11.47
Or2028,S189,2024-05-24,206.57
Or2029,S168,2025-04-30,93.51
Or2030,S403,2024-07-09,452.89
Or2031,S21,2021-10-07,252.13
Or2032,S419,2022-10-04,338.43
Or2033,S719,2021-10-21,348.76
Or2034,S466,2024-04-20,201.45
Or2035,S454,2020-09-05,402.52
Or2036,S996,2022-07-23,216.89
Or2037,S782,2021-03-09,162.72
Or2038,S329,2024-11-04,274.17
Or2039,S903,2024-05-17,342.35
Or2040,S378,2023-09-26,361.73
Or2041,S424,2024-11-24,82.28
Or2042,S205,2020-07-18,191.49
Or2043,S463,2023-01-13,94.24
Or2044,S430,2020-07-24,228.7
Or2045,S511,2022-06-02,138.85
Or2046,S856,2021-05-21,396.11
Or2047,S426,2021-07-21,163.62
Or2048,S424,2022-11-06,79.07
Or2049,S739,2023-08-06,381.85
Or2050,S806,2023-06-28,151.9
Or2051,S99,2023-02-03,21.0
Or2052,S541,2024-02-04,64.11
Or2053,S260,2021-03-20,220.14
Or2054,S810,2022-06-19,322.66
Or2055,S90,2022-01-01,427.04
Or2056,S239,2020-11-03,129.41
Or2057,S739,2024-12-01,35.76
Or2058,S634,2023-10-11,262.07
Or2059,S146,2023-10-20,275.08
Or2060,S789,2022-10-01,316.95
Or2061,S153,2025-02-04,10.98
Or2062,S404,2024-01-29,63.33
Or2063,S205,2021-08-13,165.93
Or2064,S832,2022-02-15,367.91
Or2065,S42,2025-03-04,13.66
Or2066,S486,2025-03-16,274.84
Or2067,S666,2021-04-26,251.5
Or2068,S417,2025-04-25,135.51
Or2069,S7,2021-01-03,261.51
Or2070,S92,2022-02-23,375.35
Or2071,S35,2021-03-21,415.49
Or2072,S714,2024-10-31,317.22
Or2073,S58,2020-12-25,419.01
Or2074,S240,2023-08-01,65.04
Or2075,S542,2025-01-30,43.41
Or2076,S141,2020-10-24,176.02
Or2077,S810,2024-03-13,87.66
Or2078,S634,2024-06-27,194.97
Or2079,S492,2023-06-27,425.07
Or2080,S867,2025-04-04,22.57
Or2081,S460,2022-08-16,367.75
Or2082,S231,2024-06-09,188.46
Or2083,S122,2024-02-04,104.35
Or2084,S606,2022-03-02,496.36
Or2085,S561,2021-08-22,475.94
Or2086,S794,2021-08-16,470.96
Or2087,S932,2022-01-06,418.51
Or2088,S440,2020-12-23,78.39
Or2089,S487,2022-12-21,77.62
Or2090,S832,2022-06-13,28.21
Or2091,S678,2022-07-15,166.49
Or2092,S773,2025-04-22,259.83
Or2093,S630,2020-10-09,338.95
Or2094,S934,2021-01-03,389.08
Or2095,S179,2022-07-10,375.82
Or2096,S241,2025-03-22,77.86
Or2097,S835,2023-03-17,472.25
Or2098,S330,2021-03-05,206.49
Or2099,S729,2021-06-20,247.89
Or2100,S761,2025-04-22,92.14
Or2101,S937,2021-01-08,285.67
Or2102,S722,2024-10-26,335.55
Or2103,S184,2022-09-25,19.39
Or2104,S661,2023-09-13,117.61
Or2105,S375,2022-11-15,17.25
Or2106,S260,2023-08-30,75.59
Or2107,S635,2021-07-29,52.21
Or2108,S915,2020-08-29,232.63
Or2109,S343,2021-06-04,230.53
Or2110,S977,2023-10-11,489.45
Or2111,S514,2023-04-25,263.11
Or2112,S733,2023-08-31,170.65
Or2113,S56,2025-04-05,285.45
Or2114,S463,2022-06-21,224.8
Or2115,S307,2022-12-07,246.08
Or2116,S892,2024-09-05,132.11
Or2117,S250,2022-08-18,108.52
Or2118,S347,2022-09-04,344.21
Or2119,S124,2021-08-26,235.62
Or2120,S280,2023-04-08,317.96
Or2121,S108,2022-01-22,16.24
Or2122,S185,2021-07-08,459.57
Or2123,S184,2024-09-18,338.48
Or2124,S601,2020-10-23,386.93
Or2125,S535,2022-08-01,156.21
Or2126,S12,2025-01-18,199.27
Or2127,S673,2022-10-14,29.11
Or2128,S731,2021-05-08,194.84
Or2129,S46,2021-10-19,258.19
Or2130,S655,2025-03-26,27.19
Or2131,S803,2022-04-01,37.74
Or2132,S874,2020-10-12,420.22
Or2133,S206,2020-09-08,442.21
Or2134,S957,2021-04-01,456.87
Or2135,S979,2025-02-15,278.19
Or2136,S839,2024-11-05,384.3
Or2137,S307,2024-05-12,217.26
Or2138,S619,2023-08-20,141.68
Or2139,S537,2020-12-14,170.68
Or2140,S546,2025-02-11,25.35
Or2141,S375,2023-09-29,223.87
Or2142,S739,2024-08-19,43.87
Or2143,S44,2025-01-13,336.62
Or2144,S672,2023-12-05,481.41
Or2145,S414,2024-06-01,139.45
Or2146,S518,2024-09-20,236.97
Or2147,S877,2023-12-04,26.78
Or2148,S43,2023-03-18,423.74
Or2149,S578,2020-11-12,418.24
Or2150,S893,2025-02-23,368.8
Or2151,S605,2022-11-13,400.31
Or2152,S338,2021-08-24,170.22
Or2153,S753,2024-03-06,276.07
Or2154,S103,2020-06-28,438.64
Or2155,S67,2022-04-18,186.07
Or2156,S767,2025-01-27,189.99
Or2157,S931,2022-05-25,349.98
Or2158,S543,2025-04-10,212.4
Or2159,S320,2022-01-19,92.14
Or2160,S57,2022-04-20,463.23
Or2161,S680,2021-03-20,377.92
Or2162,S118,2025-03-05,244.57
Or2163,S675,2023-12-22,155.31
Or2164,S201,2025-03-19,99.71
Or2165,S943,2025-05-13,165.87
Or2166,S559,2021-01-10,322.11
Or2167,S349,2020-10-30,204.92
Or2168,S885,2020-09-30,278.45
Or2169,S61,2023-06-30,243.78
Or2170,S674,2022-12-26,274.84
Or2171,S389,2022-03-30,452.95
Or2172,S897,2024-01-15,127.49
Or2173,S359,2022-05-17,438.0
Or2174,S131,2023-09-26,92.85
Or2175,S758,2022-12-10,120.65
Or2176,S447,2021-12-07,459.65
Or2177,S21,2022-06-27,484.87
Or2178,S433,2021-08-09,173.39
Or2179,S21,2022-08-19,196.03
Or2180,S495,2022-05-14,228.25
Or2181,S738,2022-12-16,127.81
Or2182,S117,2024-02-08,293.4
Or2183,S26,2024-05-15,331.13
Or2184,S444,2021-07-17,381.47
Or2185,S904,2023-08-22,180.95
Or2186,S356,2023-05-15,451.45
Or2187,S509,2021-06-06,158.39
Or2188,S103,2021-12-19,176.8
Or2189,S203,2020-11-11,330.19
Or2190,S968,2025-03-01,231.86
Or2191,S424,2022-06-03,308.35
Or2192,S537,2025-03-16,139.48
Or2193,S755,2023-03-07,116.97
Or2194,S756,2022-04-25,13.94
Or2195,S733,2023-11-08,262.41
Or2196,S550,2023-03-06,101.04
Or2197,S636,2023-04-26,248.64
Or2198,S242,2023-07-23,68.7
Or2199,S287,2021-07-21,206.26
Or2200,S734,2020-08-19,472.47
Or2201,S301,2022-08-05,109.45
Or2202,S501,2021-01-25,128.26
Or2203,S465,2024-05-25,493.44
Or2204,S864,2021-03-29,57.2
Or2205,S496,2023-12-14,153.71
Or2206,S311,2025-02-13,61.64
Or2207,S736,2021-11-08,73.46
Or2208,S328,2023-12-08,434.63
Or2209,S945,2023-06-13,364.1
Or2210,S954,2021-12-26,281.79
Or2211,S245,2020-10-12,468.08
Or2212,S602,2022-04-24,309.04
Or2213,S13,2022-07-23,428.6
Or2214,S526,2025-05-07,328.24
Or2215,S709,2022-04-23,293.25
Or2216,S924,2022-01-20,386.09
Or2217,S193,2023-04-19,447.13
Or2218,S948,2021-09-17,45.33
Or2219,S922,2023-07-06,95.58
Or2220,S31,2023-03-12,296.74
Or2221,S56,2025-03-01,148.97
Or2222,S189,2022-01-31,471.58
Or2223,S971,2021-03-14,254.27
Or2224,S233,2021-10-08,447.79
Or2225,S147,2020-09-19,149.51
Or2226,S838,2024-12-10,489.71
Or2227,S959,2022-01-21,379.42
Or2228,S852,2023-07-07,82.19
Or2229,S935,2022-05-19,410.92
Or2230,S519,2022-06-23,55.23
Or2231,S221,2023-10-04,105.83
Or2232,S821,2024-01-18,498.36
Or2233,S656,2021-10-19,255.51
Or2234,S798,2024-10-08,344.16
Or2235,S88,2024-06-10,418.04
Or2236,S511,2023-08-23,97.94
Or2237,S492,2022-09-24,380.96
Or2238,S514,2023-05-16,74.56
Or2239,S655,2022-06-04,18.56
Or2240,S18,2022-11-16,426.61
Or2241,S786,2020-06-09,120.43
Or2242,S25,2025-04-28,237.77
Or2243,S663,2022-03-17,56.78
Or2244,S450,2020-12-02,71.34
Or2245,S774,2021-04-16,365.96
Or2246,S327,2024-06-07,195.28
Or2247,S129,2025-02-08,60.76
Or2248,S359,2021-03-21,379.67
Or2249,S959,2022-03-10,386.75
Or2250,S337,2023-05-18,356.43
Or2251,S824,2023-11-19,182.0
Or2252,S351,2025-05-19,369.22
Or2253,S700,2021-12-26,434.16
Or2254,S299,2025-01-01,195.47
Or2255,S988,2022-03-21,173.71
Or2256,S22,2024-12-14,403.98
Or2257,S436,2022-10-06,397.03
Or2258,S578,2022-08-12,36.74
Or2259,S167,2023-08-13,132.85
Or2260,S135,2022-07-05,152.4
Or2261,S141,2024-11-08,309.67
Or2262,S577,2021-06-10,449.78
Or2263,S372,2024-12-23,88.47
Or2264,S637,2023-01-26,239.23
Or2265,S31,2020-11-10,335.92
Or2266,S785,2024-01-31,479.06
Or2267,S141,2024-04-18,331.48
Or2268,S640,2023-09-16,305.98
Or2269,S602,2022-05-14,257.13
Or2270,S815,2021-07-06,177.29
Or2271,S618,2022-12-21,372.97
Or2272,S111,2025-02-22,338.54
Or2273,S854,2021-05-04,461.71
Or2274,S42,2023-09-09,276.55
Or2275,S408,2024-09-03,210.94
Or2276,S589,2022-09-14,436.44
Or2277,S797,2020-07-21,246.4
Or2278,S822,2020-10-08,229.6
Or2279,S999,2022-06-05,348.39
Or2280,S314,2022-04-28,22.51
Or2281,S468,2020-09-19,143.93
Or2282,S364,2024-11-24,263.54
Or2283,S294,2020-09-14,208.79
Or2284,S124,2024-10-22,200.12
Or2285,S511,2022-06-12,446.24
Or2286,S760,2022-02-13,493.98
Or2287,S433,2020-10-31,368.24
Or2288,S261,2021-12-20,480.0
Or2289,S835,2022-01-28,319.09
Or2290,S579,2024-08-12,409.31
Or2291,S14,2021-09-03,470.21
Or2292,S536,2020-06-29,117.59
Or2293,S378,2021-10-19,32.86
Or2294,S745,2022-09-10,117.37
Or2295,S149,2022-12-06,395.44
Or2296,S436,2020-12-29,345.11
Or2297,S274,2025-03-07,348.65
Or2298,S807,2023-06-11,245.55
Or2299,S319,2023-04-08,416.03
Or2300,S724,2021-05-14,91.89
Or2301,S26,2023-01-26,283.08
Or2302,S532,2024-11-25,323.48
Or2303,S851,2022-04-20,289.83
Or2304,S182,2023-01-27,463.9
Or2305,S915,2023-06-24,376.25
Or2306,S458,2020-07-07,303.84
Or2307,S229,2024-02-17,160.33
Or2308,S596,2023-10-31,74.79
Or2309,S991,2025-05-27,278.89
Or2310,S395,2023-09-11,18.6
Or2311,S392,2022-01-05,478.34
Or2312,S205,2022-07-17,181.65
Or2313,S78,2023-10-31,398.31
Or2314,S518,2020-09-15,231.68
Or2315,S42,2022-07-23,266.35
Or2316,S241,2023-02-15,314.2
Or2317,S636,2023-06-22,205.9
Or2318,S205,2021-09-21,485.71
Or2319,S601,2022-03-31,74.95
Or2320,S211,2021-03-01,106.86
Or2321,S468,2020-09-26,192.99
Or2322,S691,2024-03-06,163.82
Or2323,S41,2024-06-02,262.65
Or2324,S245,2023-05-13,186.91
Or2325,S429,2021-06-05,364.64
Or2326,S940,2022-02-15,24.68
Or2327,S842,2025-02-05,484.21
Or2328,S660,2022-10-04,200.72
Or2329,S110,2020-07-09,47.64
Or2330,S102,2024-11-27,117.26
Or2331,S311,2021-02-24,203.7
Or2332,S749,2022-07-24,294.66
Or2333,S508,2022-06-27,459.71
Or2334,S113,2023-01-23,481.4
Or2335,S910,2022-11-20,428.13
Or2336,S533,2024-02-05,354.99
Or2337,S69,2024-01-11,30.11
Or2338,S647,2023-10-11,300.45
Or2339,S302,2020-10-15,416.42
Or2340,S715,2020-09-12,268.18
Or2341,S560,2025-01-28,84.21
Or2342,S784,2023-01-11,74.43
Or2343,S241,2023-01-09,464.02
Or2344,S569,2022-11-27,323.94
Or2345,S420,2021-04-26,385.0
Or2346,S209,2024-12-28,238.45
Or2347,S470,2024-05-11,377.65
Or2348,S698,2022-09-04,345.24
Or2349,S542,2025-03-04,341.77
Or2350,S310,2021-12-15,210.74
Or2351,S398,2021-01-22,281.52
Or2352,S410,2024-05-31,179.08
Or2353,S227,2021-08-19,308.87
Or2354,S150,2022-07-27,26.14
Or2355,S38,2024-04-27,375.0
Or2356,S503,2024-07-19,493.54
Or2357,S839,2022-04-20,172.56
Or2358,S753,2022-06-25,252.35
Or2359,S740,2023-02-14,117.97
Or2360,S754,2021-11-24,400.16
Or2361,S313,2023-04-27,88.99
Or2362,S682,2025-05-13,61.48
Or2363,S389,2024-07-23,189.93
Or2364,S344,2020-09-17,410.94
Or2365,S99,2021-07-26,15.82
Or2366,S871,2020-11-25,499.49
Or2367,S28,2021-01-23,352.49
Or2368,S199,2023-02-23,442.69
Or2369,S146,2024-01-06,276.07
Or2370,S230,2024-01-20,110.44
Or2371,S753,2021-02-03,382.36
Or2372,S114,2021-08-20,121.74
Or2373,S76,2022-03-24,382.95
Or2374,S83,2025-04-13,392.02
Or2375,S620,2024-07-31,175.9
Or2376,S445,2024-06-04,160.89
Or2377,S839,2023-02-21,130.15
Or2378,S921,2024-08-02,346.59
Or2379,S692,2021-04-10,16.81
Or2380,S719,2025-05-27,253.14
Or2381,S8,2021-01-11,490.57
Or2382,S977,2024-04-22,472.13
Or2383,S77,2022-08-04,309.89
Or2384,S744,2022-08-19,282.95
Or2385,S832,2024-02-26,135.36
Or2386,S232,2024-03-31,51.76
Or2387,S752,2022-09-15,402.41
Or2388,S250,2024-12-17,85.18
Or2389,S739,2024-05-30,324.62
Or2390,S245,2023-11-20,431.64
Or2391,S50,2025-02-18,395.67
Or2392,S71,2021-10-27,293.49
Or2393,S285,2021-06-12,66.96
Or2394,S594,2021-04-20,30.15
Or2395,S938,2025-06-07,304.95
Or2396,S185,2022-12-10,327.2
Or2397,S935,2021-04-03,288.68
Or2398,S55,2024-03-01,360.32
Or2399,S626,2022-08-18,296.28
Or2400,S584,2022-07-29,358.83
Or2401,S586,2023-03-09,477.22
Or2402,S24,2022-02-25,117.9
Or2403,S17,2025-05-01,328.43
Or2404,S220,2024-07-04,25.89
Or2405,S481,2021-12-19,202.69
Or2406,S355,2023-11-30,52.02
Or2407,S688,2023-07-07,230.45
Or2408,S418,2020-07-17,342.03
Or2409,S362,2021-03-03,335.61
Or2410,S163,2024-02-10,210.75
Or2411,S212,2023-12-24,278.3
Or2412,S899,2025-05-30,134.74
Or2413,S486,2023-01-18,308.72
Or2414,S119,2025-03-26,86.75
Or2415,S366,2021-05-02,117.23
Or2416,S804,2024-03-11,187.28
Or2417,S158,2020-10-10,75.28
Or2418,S384,2023-02-15,159.55
Or2419,S658,2024-09-25,202.38
Or2420,S444,2022-09-25,142.86
Or2421,S545,2025-01-31,158.6
Or2422,S227,2023-11-22,442.62
Or2423,S579,2021-11-10,56.21
Or2424,S648,2022-05-12,424.85
Or2425,S812,2021-01-20,442.41
Or2426,S107,2020-07-30,23.47
Or2427,S706,2021-01-27,286.46
Or2428,S628,2020-09-12,272.87
Or2429,S751,2022-07-25,11.1
Or2430,S458,2022-09-14,379.66
Or2431,S226,2025-05-10,44.21
Or2432,S940,2021-10-05,311.96
Or2433,S851,2021-02-26,492.26
Or2434,S748,2020-11-24,53.29
Or2435,S505,2022-10-29,20.56
Or2436,S976,2022-04-14,435.33
Or2437,S154,2024-06-17,194.14
Or2438,S230,2021-10-31,381.93
Or2439,S422,2023-08-07,361.92
Or2440,S646,2022-12-19,308.06
Or2441,S941,2020-10-18,394.36
Or2442,S49,2023-07-31,91.37
Or2443,S361,2022-08-31,423.12
Or2444,S579,2024-11-26,262.54
Or2445,S212,2024-03-01,351.61
Or2446,S989,2024-06-06,253.38
Or2447,S757,2021-08-28,54.96
Or2448,S217,2021-02-20,330.22
Or2449,S482,2022-05-29,461.52
Or2450,S897,2023-05-22,164.49
Or2451,S907,2024-07-04,387.25
Or2452,S844,2024-05-06,60.3
Or2453,S39,2024-01-30,41.54
Or2454,S84,2021-06-29,223.74
Or2455,S336,2022-12-25,355.36
Or2456,S313,2022-02-20,32.83
Or2457,S322,2024-03-26,457.01
Or2458,S309,2023-01-04,223.73
Or2459,S34,2023-02-07,221.83
Or2460,S516,2021-02-08,343.78
Or2461,S145,2022-08-17,195.16
Or2462,S667,2023-02-07,477.83
Or2463,S979,2023-09-28,148.32
Or2464,S380,2020-12-20,483.56
Or2465,S441,2025-01-30,193.22
Or2466,S202,2020-10-10,223.3
Or2467,S422,2024-05-01,104.23
Or2468,S130,2021-03-10,353.96
Or2469,S295,2024-01-06,133.26
Or2470,S129,2023-08-22,92.14
Or2471,S77,2023-04-02,285.02
Or2472,S307,2022-07-13,447.67
Or2473,S480,2021-07-19,142.76
Or2474,S380,2021-10-17,483.99
Or2475,S913,2023-04-12,173.78
Or2476,S18,2023-02-15,323.03
Or2477,S561,2021-11-17,303.05
Or2478,S4,2022-05-10,266.19
Or2479,S878,2024-10-25,481.82
Or2480,S328,2021-05-25,485.5
Or2481,S111,2020-12-30,32.48
Or2482,S883,2025-04-13,236.48
Or2483,S404,2024-12-14,411.28
Or2484,S720,2022-07-12,71.23
Or2485,S580,2022-12-09,147.28
Or2486,S837,2022-03-20,318.91
Or2487,S34,2021-11-15,102.66
Or2488,S216,2022-11-26,91.28
Or2489,S599,2021-09-02,280.57
Or2490,S794,2024-01-17,473.87
Or2491,S736,2022-12-22,371.83
Or2492,S512,2023-07-07,497.66
Or2493,S559,2024-09-15,483.57
Or2494,S721,2022-10-14,110.45
Or2495,S449,2024-02-17,174.21
Or2496,S386,2020-08-09,341.58
Or2497,S114,2025-04-21,292.36
Or2498,S850,2025-05-02,260.77
Or2499,S40,2023-09-30,109.13
Or2500,S144,2022-08-06,264.95
Or2501,S727,2021-09-02,206.15
Or2502,S725,2024-11-12,53.52
Or2503,S123,2022-10-15,57.22
Or2504,S804,2023-02-10,289.99
Or2505,S555,2020-10-16,419.73
Or2506,S785,2021-11-29,161.73
Or2507,S912,2023-12-10,234.45
Or2508,S122,2023-03-25,245.75
Or2509,S684,2022-03-23,112.21
Or2510,S709,2022-07-16,150.34
Or2511,S55,2021-02-02,96.72
Or2512,S861,2023-07-09,10.96
Or2513,S661,2024-03-21,145.3
Or2514,S153,2022-11-05,108.94
Or2515,S645,2022-11-10,306.11
Or2516,S568,2023-10-10,72.08
Or2517,S410,2022-07-15,428.23
Or2518,S564,2023-02-08,97.94
Or2519,S47,2024-05-10,436.86
Or2520,S38,2024-10-05,495.07
Or2521,S303,2024-05-19,104.33
Or2522,S919,2021-08-26,210.88
Or2523,S658,2024-03-16,330.28
Or2524,S397,2024-08-21,309.36
Or2525,S70,2022-10-14,71.78
Or2526,S162,2023-03-05,360.25
Or2527,S894,2024-09-07,312.61
Or2528,S653,2021-09-28,37.39
Or2529,S778,2025-05-11,201.4
Or2530,S308,2022-05-13,315.05
Or2531,S187,2022-02-21,199.81
Or2532,S132,2024-04-15,391.12
Or2533,S148,2023-08-03,109.4
Or2534,S336,2023-04-28,106.18
Or2535,S545,2022-11-09,355.85
Or2536,S282,2024-07-01,380.18
Or2537,S634,2023-10-16,386.11
Or2538,S215,2023-09-13,451.74
Or2539,S662,2024-03-30,270.41
Or2540,S346,2022-11-11,236.76
Or2541,S989,2024-04-19,389.18
Or2542,S446,2021-11-05,310.88
Or2543,S694,2021-02-19,135.61
Or2544,S692,2024-10-21,437.93
Or2545,S115,2024-11-27,436.17
Or2546,S683,2023-12-05,253.05
Or2547,S117,2024-07-14,86.92
Or2548,S700,2022-07-03,146.41
Or2549,S561,2021-04-26,245.77
Or2550,S488,2021-01-29,164.55
Or2551,S767,2022-03-08,154.7
Or2552,S429,2020-11-18,443.25
Or2553,S939,2022-10-21,260.69
Or2554,S22,2024-09-11,364.96
Or2555,S881,2021-08-22,386.6
Or2556,S124,2021-07-24,239.25
Or2557,S914,2023-12-14,471.16
Or2558,S320,2024-02-01,159.08
Or2559,S402,2021-08-27,151.23
Or2560,S162,2021-02-14,288.19
Or2561,S471,2025-01-24,208.44
Or2562,S68,2024-11-14,79.77
Or2563,S246,2021-02-27,222.98
Or2564,S499,2025-04-10,224.91
Or2565,S443,2022-04-01,276.48
Or2566,S281,2021-09-05,423.66
Or2567,S547,2022-02-06,322.3
Or2568,S211,2022-01-25,75.84
Or2569,S913,2022-06-28,17.76
Or2570,S308,2023-11-10,63.46
Or2571,S161,2023-12-06,197.51
Or2572,S165,2022-02-12,98.32
Or2573,S752,2021-01-31,251.22
Or2574,S36,2023-08-10,154.9
Or2575,S797,2022-03-26,340.36
Or2576,S657,2023-04-18,236.02
Or2577,S667,2024-09-22,375.17
Or2578,S197,2025-01-02,120.21
Or2579,S273,2021-03-15,231.07
Or2580,S8,2023-12-22,388.58
Or2581,S564,2021-10-30,301.85
Or2582,S871,2024-04-19,63.79
Or2583,S509,2021-06-05,476.75
Or2584,S710,2024-09-05,16.97
Or2585,S834,2020-09-04,441.83
Or2586,S886,2021-07-01,478.66
Or2587,S49,2021-05-25,49.17
Or2588,S771,2024-09-06,40.95
Or2589,S960,2024-06-15,432.77
Or2590,S888,2022-02-16,32.51
Or2591,S432,2025-02-08,231.12
Or2592,S838,2023-09-20,437.73
Or2593,S90,2020-09-16,22.55
Or2594,S180,2021-11-11,326.69
Or2595,S640,2022-05-30,288.77
Or2596,S242,2020-07-19,146.65
Or2597,S569,2023-01-20,271.61
Or2598,S905,2023-11-07,280.37
Or2599,S200,2020-09-14,386.7
Or2600,S917,2022-02-13,44.33
Or2601,S525,2023-06-29,238.7
Or2602,S28,2020-07-31,499.83
Or2603,S913,2023-07-03,437.49
Or2604,S197,2024-11-27,109.77
Or2605,S863,2023-12-27,411.61
Or2606,S18,2024-02-15,363.21
Or2607,S432,2023-09-30,189.67
Or2608,S606,2021-07-27,319.88
Or2609,S929,2023-06-03,235.72
Or2610,S195,2024-09-23,252.2
Or2611,S255,2023-11-01,39.5
Or2612,S722,2023-02-19,352.35
Or2613,S936,2021-12-18,115.48
Or2614,S312,2022-09-23,15.82
Or2615,S365,2023-11-04,380.89
Or2616,S809,2022-03-19,60.76
Or2617,S201,2022-04-10,363.1
Or2618,S616,2024-09-11,82.05
Or2619,S37,2022-09-20,245.27
Or2620,S382,2021-08-04,199.58
Or2621,S327,2024-03-01,280.18
Or2622,S697,2020-11-16,158.44
Or2623,S326,2021-01-13,294.78
Or2624,S579,2023-06-10,228.74
Or2625,S313,2021-07-07,48.05
Or2626,S212,2023-01-14,421.66
Or2627,S176,2021-11-13,101.53
Or2628,S189,2023-10-17,186.24
Or2629,S220,2025-03-29,27.17
Or2630,S423,2021-06-16,151.0
Or2631,S106,2022-05-23,157.07
Or2632,S943,2025-02-06,298.1
Or2633,S991,2024-08-22,494.64
Or2634,S411,2023-02-05,144.51
Or2635,S610,2024-12-18,255.77
Or2636,S907,2021-07-30,95.79
Or2637,S264,2020-07-02,326.67
Or2638,S365,2024-05-03,241.67
Or2639,S973,2023-01-12,103.5
Or2640,S52,2020-07-21,117.45
Or2641,S75,2024-09-09,372.11
Or2642,S779,2020-11-11,177.4
Or2643,S510,2025-03-20,47.99
Or2644,S208,2023-09-30,80.4
Or2645,S685,2023-03-26,117.89
Or2646,S686,2024-02-03,280.38
Or2647,S596,2022-06-23,348.74
Or2648,S71,2021-10-04,24.17
Or2649,S225,2025-04-18,445.94
Or2650,S305,2021-12-18,247.18
Or2651,S149,2025-01-18,339.24
Or2652,S29,2022-04-30,259.97
Or2653,S310,2022-03-26,177.22
Or2654,S983,2024-10-10,137.14
Or2655,S408,2023-07-23,426.81
Or2656,S906,2023-08-10,492.81
Or2657,S219,2023-06-26,460.84
Or2658,S423,2024-07-23,286.46
Or2659,S712,2024-08-08,30.81
Or2660,S97,2024-09-01,114.59
Or2661,S234,2024-05-09,136.32
Or2662,S967,2021-04-06,434.99
Or2663,S260,2021-04-15,270.81
Or2664,S807,2024-09-15,201.25
Or2665,S483,2024-05-05,90.18
Or2666,S825,2024-07-06,356.29
Or2667,S978,2020-12-02,267.87
Or2668,S276,2021-11-21,130.19
Or2669,S881,2022-09-12,161.72
Or2670,S908,2021-08-07,392.06
Or2671,S928,2022-10-10,86.4
Or2672,S707,2023-02-10,355.67
Or2673,S838,2022-02-21,66.32
Or2674,S128,2022-06-16,488.52
Or2675,S397,2024-12-21,489.44
Or2676,S449,2024-02-05,103.14
Or2677,S711,2021-01-15,153.03
Or2678,S254,2021-12-13,345.0
Or2679,S979,2024-12-12,233.77
Or2680,S811,2021-05-31,281.4
Or2681,S33,2024-02-02,227.18
Or2682,S624,2022-11-13,88.92
Or2683,S991,2022-07-15,148.28
Or2684,S770,2023-08-25,175.0
Or2685,S754,2021-07-11,70.41
Or2686,S804,2023-04-28,353.48
Or2687,S171,2020-12-08,384.53
Or2688,S798,2021-07-08,62.7
Or2689,S684,2022-04-29,176.83
Or2690,S525,2020-09-06,394.23
Or2691,S772,2023-02-03,199.77
Or2692,S726,2022-03-26,118.6
Or2693,S702,2022-12-09,57.83
Or2694,S476,2023-08-08,32.06
Or2695,S275,2021-02-21,304.68
Or2696,S485,2021-01-13,448.84
Or2697,S374,2024-08-08,147.23
Or2698,S235,2020-08-14,106.07
Or2699,S739,2023-09-02,39.89
Or2700,S889,2024-03-16,92.67
Or2701,S905,2025-01-05,48.23
Or2702,S613,2021-04-05,130.86
Or2703,S496,2022-11-24,22.49
Or2704,S573,2023-11-25,242.41
Or2705,S739,2021-01-12,10.17
Or2706,S366,2025-03-18,477.16
Or2707,S65,2025-06-07,364.74
Or2708,S365,2020-10-07,229.56
Or2709,S318,2025-03-19,112.65
Or2710,S944,2020-10-26,182.5
Or2711,S564,2023-11-21,294.18
Or2712,S11,2022-12-17,393.74
Or2713,S263,2024-06-03,39.84
Or2714,S442,2024-10-17,77.8
Or2715,S961,2021-03-30,470.66
Or2716,S290,2023-11-14,195.37
Or2717,S191,2021-07-14,418.53
Or2718,S941,2024-06-24,114.11
Or2719,S47,2023-01-30,280.57
Or2720,S617,2023-11-22,399.28
Or2721,S544,2022-06-16,425.75
Or2722,S970,2023-06-03,223.99
Or2723,S75,2020-10-09,421.02
Or2724,S935,2021-11-28,462.66
Or2725,S282,2024-01-26,27.75
Or2726,S139,2021-05-20,163.6
Or2727,S704,2022-04-14,137.37
Or2728,S556,2023-11-22,305.05
Or2729,S598,2022-01-20,19.61
Or2730,S538,2022-03-16,73.64
Or2731,S899,2022-02-16,17.35
